date,ave_sws,ave_rws,ave_rwd,wd_sd,max_ws,max_wst,ave_temp,max_temp,max_temt,min_temp,min_temt,max_rh,max_rht,min_rh,min_rht,max_gsw,max_gswt,tot_gsw,max_dsw,max_dswt,tot_dsw,max_netr,max_nett,min_netr,tot_netr,max_gpar,max_gpat,tot_gpar,max_dpar,max_dpat,tot_dpar,ave_bp,ave_rh,tot_prec,pot_par,sno_depcm,pot_sw,kt_par,kt_sw
1988-01-01T05:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.37,NA,13000,NA,NA
1988-01-02T05:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.47,NA,13000,NA,NA
1988-01-03T05:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.57,NA,13000,NA,NA
1988-01-04T05:00:00Z,2.6,1.734,259.4,46.75,12,2309,-0.4,1.7,947,-4.5,2353,92,415,53,2232,623,1256,5075,343,1340,2933,NA,NA,NA,NA,1103,1256,9.22,641.7,1249,4,NA,79,6.1,22.68,NA,13000,41,40
1988-01-05T05:00:00Z,4.597,4.234,267,22.76,11.9,102,-10.1,-4.4,5,-12.7,2325,77,13,32,1639,557,1350,9288,241,1352,2561,NA,NA,NA,NA,1008,1350,16.45,601.7,1241,9.67,NA,43,0,22.8,NA,13000,72,72
1988-01-06T05:00:00Z,3.888,3.021,290,38.24,13.1,1411,-11.4,-7.3,1441,-17.1,859,58,911,38,1622,499,1302,9811,88,1208,1963,NA,NA,NA,NA,911,1302,17.59,650.2,1319,11.64,NA,47,0,22.94,NA,13000,77,76
1988-01-07T05:00:00Z,2.034,1.5,352.1,41.5,7.6,1313,-13.3,-9.6,1452,-16.8,812,62,740,34,1617,517,1301,9213,193,1516,2870,NA,NA,NA,NA,936,1301,16.41,682.1,1257,10.05,NA,47,0,23.08,NA,13000,71,71
1988-01-08T05:00:00Z,2.184,2.063,345,19.04,6.4,1819,-10,-5.7,0,-14.6,34,91,2358,52,1,145,1448,2277,134,1448,2145,NA,NA,NA,NA,226.1,1055,3.19,46.8,1448,0.51,NA,78,11.9,23.23,NA,13000,14,17
1988-01-09T05:00:00Z,1.441,0.339,335,70.8,5.1,220,NA,NA,NA,-9.2,2355,91,905,62,1528,522,1305,NA,151,1305,NA,NA,NA,NA,NA,738,1451,NA,611.8,1250,NA,NA,83,0.8,23.38,NA,13000,NA,NA
1988-01-10T05:00:00Z,1.675,0.676,63.58,62.55,6.4,1241,-11.3,-4.6,1430,-18.9,2358,90,203,47,1715,578,1234,10000,167,1421,2686,NA,NA,NA,NA,947,1418,17.06,654.3,1259,10.78,NA,74,0,23.55,NA,13000,72,76
