month,avg_temp,year,month_num
1988 Jan,-6.61,1988,1
1988 Feb,-1.8764705882352941,1988,2
1988 Mar,2.319230769230769,1988,3
1988 Apr,7.979166666666667,1988,4
1988 May,15.851612903225806,1988,5
1988 Jun,18.686666666666667,1988,6
1988 Jul,24.038709677419355,1988,7
1988 Aug,22.503225806451614,1988,8
1988 Sep,15.55,1988,9
1988 Oct,7.273333333333333,1988,10
1988 Nov,5.533333333333333,1988,11
1988 Dec,-2.1806451612903226,1988,12
1989 Jan,-1.0774193548387097,1989,1
1989 Feb,-3.007142857142857,1989,2
1989 Mar,2.0935483870967744,1989,3
1989 Apr,7.180645161290323,1989,4
1989 May,15.393103448275863,1989,5
1989 Jun,19.310344827586206,1989,6
1989 Jul,20.70967741935484,1989,7
1989 Aug,19.993548387096773,1989,8
1989 Sep,16.143333333333334,1989,9
1989 Oct,10.45,1989,10
1989 Nov,4.410344827586207,1989,11
1989 Dec,-8.92258064516129,1989,12
1990 Jan,1.1483870967741936,1990,1
1990 Feb,-0.6,1990,2
1990 Mar,4.496,1990,3
1990 Apr,10.344444444444445,1990,4
1990 May,12.574193548387097,1990,5
1990 Jun,19.10333333333333,1990,6
1990 Jul,21.4,1990,7
1990 Aug,20.248387096774195,1990,8
1990 Sep,16.503846153846155,1990,9
1990 Oct,12.823333333333334,1990,10
1990 Nov,5.756666666666667,1990,11
1990 Dec,1.4730769230769232,1990,12
1991 Jan,-2.1576923076923076,1991,1
1991 Feb,0.003571428571428577,1991,2
1991 Mar,3.8870967741935485,1991,3
1991 Apr,11.212903225806452,1991,4
1991 May,17.61935483870968,1991,5
1991 Jun,19.828,1991,6
1991 Jul,21.8,1991,7
1991 Aug,20.651612903225807,1991,8
1991 Sep,15.36896551724138,1991,9
1991 Oct,10.976666666666667,1991,10
1991 Nov,5.1433333333333335,1991,11
1991 Dec,-0.3096774193548386,1991,12
1992 Jan,-2.26,1992,1
1992 Feb,-1.9379310344827587,1992,2
1992 Mar,0.49677419354838714,1992,3
1992 Apr,7.196774193548387,1992,4
1992 May,13.709677419354838,1992,5
1992 Jun,18.4,1992,6
1992 Jul,19.758064516129032,1992,7
1992 Aug,18.696774193548386,1992,8
1992 Sep,15.676666666666666,1992,9
1992 Oct,8.3,1992,10
1992 Nov,3.856666666666667,1992,11
1992 Dec,-0.9935483870967742,1992,12
1993 Jan,-1.8096774193548386,1993,1
1993 Feb,-5.9035714285714285,1993,2
1993 Mar,0.9612903225806452,1993,3
1993 Apr,9.896774193548387,1993,4
1993 May,14.774193548387096,1993,5
1993 Jun,19.423333333333332,1993,6
