date,ave_temp,max_temp,max_temt,min_temp,min_temt,year
1988-10-05,5.6,13.5,1434,-0.9,644,1988
1989-09-24,9.6,19.6,1332,-1.4,540,1989
1990-10-02,11.1,22,1340,-0.1,552,1990
1991-09-27,6.4,15.2,1231,-1.5,514,1991
1992-09-23,7.5,16.9,1434,-0.2,2350,1992
1993-09-30,7.5,15.4,1400,-2.6,546,1993
1994-10-02,8.6,16.3,1351,-0.6,611,1994
1995-09-28,9.2,19.6,1409,-1.9,502,1995
1996-10-03,3.5,11,1441,-2.1,509,1996
1997-10-01,6.2,15.4,1520,-3.4,524,1997
1998-09-23,9.3,19.6,1502,-1,556,1998
1999-10-06,2.8,9.9,1428,-2.7,603,1999
2000-09-27,7.5,14,1401,-0.4,2359,2000
2001-10-06,6.2,13.3,1353,0,624,2001
2002-10-13,7.3,13.3,1430,-1.6,2359,2002
2003-10-02,6.4,14.5,1507,-2.3,553,2003
2004-10-05,8.2,18.5,1521,-1.5,603,2004
2005-10-20,5.3,13.5,1515,-0.6,614,2005
2006-10-12,5.8,13.1,1405,-2.1,632,2006
2007-10-12,7.3,16.4,1332,-0.9,608,2007
2008-10-03,7.7,17.2,1419,-0.4,606,2008
2009-10-09,11,16.5,1107,-0.4,2358,2009
2010-10-09,9.1,21,1437,-1.4,608,2010
2011-10-05,8.2,19.1,1344,-0.5,618,2011
2012-10-11,6.2,12,1413,-1.5,2356,2012
2013-10-22,4.9,12.4,1353,-1.8,606,2013
2014-10-05,11.6,21.5,1301,0,605,2014
2015-10-10,10.6,20.9,1428,-0.3,517,2015
2016-10-10,8.8,20.4,1455,-1.3,603,2016
2017-10-16,6.3,15.7,1517,-2.8,545,2017
2018-10-17,3.8,9.4,1513,-2.2,2344,2018
2019-10-04,6.8,16.6,1323,-1.9,628,2019
2020-10-16,7.4,15.6,1430,0,2355,2020
2021-10-23,7.81,15.33,1357,-0.151,636,2021
2022-10-07,7.672,14.55,1408,-0.207,41,2022
2023-10-23,8.97,19.75,1548,-0.542,353,2023
2024-10-10,10.2,20.3,1610,0,717,2024
2025-10-09,5.8,13.3,NA,-1.7,NA,2025
