date,ave_temp,max_temp,max_temt,min_temp,min_temt,year
1988-03-20,-2.5,2.9,1344,-6.9,2333,1988
1989-03-20,-1.9,4.1,1243,-10.4,550,1989
1990-03-21,4.3,10.1,1431,-2.7,2359,1990
1991-03-21,3.1,10.7,1205,-4.9,427,1991
1992-03-20,-2.8,4.5,1449,-12,613,1992
1993-03-20,-0.6,6.4,1528,-13.1,409,1993
1994-03-20,3.9,9.3,1606,-0.1,637,1994
1995-03-24,2.7,5.8,1503,-0.7,2346,1995
1996-03-22,0.5,3.7,1422,-1.8,2356,1996
1997-03-20,0.8,4.5,1434,-3.9,2324,1997
1998-03-21,0.2,4.1,0,-1.6,2225,1998
1999-03-21,NA,NA,NA,-7.1,NA,1999
2000-03-20,4,11.3,1326,-3.7,317,2000
2001-03-20,3.6,12.7,1240,-6.5,253,2001
2002-03-20,1.1,2.4,334,-0.4,2358,2002
2003-03-23,5.9,13.8,1251,-1.5,2341,2003
2004-03-20,0.7,8.6,1521,-8.7,516,2004
2005-03-20,0.2,4.1,1433,-4.9,257,2005
2006-03-20,-1.9,2.7,1351,-6.1,2321,2006
2007-03-22,6.7,11.7,153,-1.3,2334,2007
2008-03-20,0.8,5.8,1516,-2.6,2341,2008
2009-03-20,0.6,9.3,1555,-9.8,613,2009
2010-03-23,8,15.4,1501,-0.6,2335,2010
2011-03-22,-1,1.5,214,-3,2335,2011
2012-03-25,4.3,9.4,835,-1.7,2357,2012
2013-03-20,-2,3.1,1552,-6.4,442,2013
2014-03-20,2.3,7.1,1441,-4.1,2329,2014
2015-03-20,1,5.6,1711,-3.6,230,2015
2016-03-20,2.5,9.5,1347,-1.9,603,2016
2017-03-20,5.1,13.4,1543,-2.2,2346,2017
2018-03-20,-1.1,1.8,1551,-3.9,635,2018
2019-03-22,1.5,7.7,1442,-4.4,2358,2019
2020-03-20,4.2,8.7,0,-1.2,2357,2020
2021-03-20,5.509,18.89,1452,-5.853,446,2021
2022-03-20,8.2,16.51,1536,-0.087,642,2022
2023-03-20,6.297,17.25,1542,-5.184,526,2023
2024-03-20,-0.4,3.8,1405,-4.5,30,2024
2025-03-21,4.4,9.6,1442,-2.5,2326,2025
